*******************************************************************************
USER DATA                   {Unspecified by user}           Fri Oct-14 00:06:01
Local ID: -825544              (TLE ID = 25544)
 
Geocentric SGP4/SDP4 Two-Line Elements (TLEs):
 
1 25544U 98067A   22287.03080591  .00014531  00000+0  26193-3 0  9994
2 25544  51.6411 107.8004 0003442 301.1818 203.3502 15.50018604363619
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Fri Oct 14 00:06:01 2022 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: {Unspecified by user} (-825544) {source: USER-INPUT TLE}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2022-Oct-11 00:00:00.0000 TDB
Stop  time      : A.D. 2022-Oct-13 00:00:00.0000 TDB
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Keplerian GM    : 3.9860043550702260E+05 km^3/s^2
Output units    : KM-S, deg, Julian Day Number (Tp)
Output type     : GEOMETRIC osculating elements
Output format   : 10
EOP file        : eop.221012.p230105
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2022-OCT-12. PREDICTS-> 2023-JAN-04
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2459863.500000000, A.D. 2022-Oct-11 00:00:00.0000,  8.907465100282871E-04,  6.790021167183205E+03,  5.174937147517530E+01,  1.224557313041175E+02,  7.774549025115519E+01,  2.459863489316971E+06,  6.456606166907344E-02,  5.959535892463963E+01,  5.968344286327071E+01,  6.796074747046028E+03,  6.802128326908852E+03,  5.575684666119828E+03,
2459863.500694444, A.D. 2022-Oct-11 00:01:00.0000,  9.352664556657695E-04,  6.790518229599421E+03,  5.175204344245581E+01,  1.224528105665435E+02,  8.470706031392514E+01,  2.459863490562418E+06,  6.455465745691782E-02,  5.651160282904300E+01,  5.660104304286204E+01,  6.796875118901478E+03,  6.803232008203536E+03,  5.576669665395640E+03,
2459863.501388889, A.D. 2022-Oct-11 00:02:00.0000,  9.738123651633896E-04,  6.791032286074891E+03,  5.175463614663767E+01,  1.224503436987617E+02,  9.145118134317333E+01,  2.459863491769046E+06,  6.454359225513834E-02,  5.364569037009151E+01,  5.373562664861059E+01,  6.797651923572143E+03,  6.804271561069394E+03,  5.577625716537962E+03,
2459863.502083333, A.D. 2022-Oct-11 00:03:00.0000,  1.005345868068605E-03,  6.791556187872761E+03,  5.175710221034311E+01,  1.224483128591743E+02,  9.798632186200120E+01,  2.459863492938377E+06,  6.453306851716011E-02,  5.098913764434838E+01,  5.107872516673623E+01,  6.798390922095804E+03,  6.805225656318847E+03,  5.578535288528419E+03,
2459863.502777778, A.D. 2022-Oct-11 00:04:00.0000,  1.028855075673106E-03,  6.792083302006532E+03,  5.175939659211100E+01,  1.224466922287560E+02,  1.043211012683839E+02,  2.459863494071958E+06,  6.452327862942782E-02,  4.853330294040433E+01,  4.862172405829740E+01,  6.799078568501636E+03,  6.806073834996741E+03,  5.579381699860040E+03,
2459863.503472222, A.D. 2022-Oct-11 00:05:00.0000,  1.043391143553593E-03,  6.792607510352923E+03,  5.176147741003344E+01,  1.224454484885187E+02,  1.104636461583910E+02,  2.459863495171242E+06,  6.451440140324854E-02,  4.627003082891427E+01,  4.635650624994493E+01,  6.799702259469254E+03,  6.806797008585586E+03,  5.580149426634418E+03,
2459863.504166667, A.D. 2022-Oct-11 00:06:00.0000,  1.048101898543682E-03,  6.793123211243993E+03,  5.176330670677078E+01,  1.224445414339822E+02,  1.164209348411643E+02,  2.459863496237477E+06,  6.450659882212635E-02,  4.419230817967586E+01,  4.427610736504747E+01,  6.800250566773602E+03,  6.807377922303212E+03,  5.580824389651694E+03,
2459863.504861111, A.D. 2022-Oct-11 00:07:00.0000,  1.042261958244209E-03,  6.793625323193353E+03,  5.176485114199745E+01,  1.224439247152033E+02,  1.221980927991690E+02,  2.459863497271576E+06,  6.450001310297371E-02,  4.229496934203227E+01,  4.237541994651831E+01,  6.800713448109237E+03,  6.807801573025121E+03,  5.581394214994393E+03,
